sender,recipient,amount_eth,risk
0x0411F3,0x0772E6,1.4073,safe
0x0B848C,0x02186F,3.143,safe
0x0B637E,0x0CF5C5,1.2499,safe
0x00CA2A,0x060C0E,1.0044,safe
0x0C62D7,0x0DBA9E,4.494,safe
0x04AFE2,0x0525F8,4.2341,safe
0x0DE174,0x02286E,3.8845,safe
0x09C2F3,0x08D7B2,4.5131,safe
0x0A65D2,0x012B0C,2.539,safe
0x019C56,0x0EBB7B,1.0845,safe
0x0B0E26,0x04822D,0.3394,safe
0x00F8A8,0x0BDF8C,1.6254,safe
0x0EC0CF,0x02B240,2.3102,safe
0x08B83F,0x04E888,4.0353,safe
0x02FEB8,0x0E4038,2.2863,safe
0x0A34EB,0x01A6B5,2.5287,safe
0x00AB58,0x007DBF,4.5023,safe
0x0EFD84,0x0E061E,3.4891,safe
0x02DAD5,0x0CC9F1,3.3821,safe
0x0DC248,0x0F1871,1.5285,safe
0x09C6E4,0x063DFE,3.7686,safe
0x0BA3F2,0x028D18,4.235,safe
0x0246DB,0x0CA667,4.5384,safe
0x080FEC,0x0A66D7,4.7617,safe
0x0ED6BC,0x07F714,1.107,safe
0x059FFC,0x05C9B5,4.7163,safe
0x0C0637,0x0CC2E4,0.4428,safe
0x0B71C4,0x02BBDD,1.6202,safe
0x0264EB,0x07361D,4.4724,safe
0x0C7D65,0x06CD41,4.305,safe
0x00CD1C,0x012279,4.6775,safe
0x0E0C1F,0x06DFC2,3.2693,safe
0x057400,0x0C3C00,3.2687,safe
0x0DEA36,0x096E8A,1.1451,safe
0x03A070,0x0620B9,3.9471,safe
0x019A43,0x0E2000,1.136,safe
0x0EA694,0x0190A2,1.9977,safe
0x0295B7,0x01A3F2,1.5325,safe
0x01C066,0x051CDB,2.0011,safe
0x04CBC4,0x0456D2,1.6208,safe
0x060E00,0x00C09F,1.3779,safe
0x05F864,0x044699,3.9134,safe
0x0B58CF,0x039241,1.4881,safe
0x0B53E5,0x03CBA3,4.5425,safe
0x0446FD,0x0E7F24,3.0434,safe
0x09BD7F,0x05F805,2.8635,safe
0x062FFE,0x0C53C3,2.7857,safe
0x0DEA71,0x020245,0.3627,safe
0x0B2595,0x078F72,1.0957,safe
0x0C0EF2,0x062753,2.8478,safe
0x05F75F,0x0518F3,3.8788,safe
0x04DE68,0x08EFDB,0.249,safe
0x04F4CE,0x0AA6C5,1.5907,safe
0x068B3B,0x0963DF,2.1878,safe
0x0278E7,0x0B2889,0.8811,safe
0x028D94,0x0A7BEE,4.8031,safe
0x0D6213,0x012321,4.2004,safe
0x0ED787,0x0CDE5B,2.6435,safe
0x09D285,0x03C28C,4.3321,safe
0x034DD4,0x0CB5C1,4.9672,safe
0x0339F3,0x05B8A3,4.2767,safe
0x0954B8,0x055712,4.1634,safe
0x08A42B,0x0CC1C9,4.7294,safe
0x065A97,0x001739,1.1618,safe
0x07AB52,0x0D07B6,3.0892,safe
0x0F1911,0x0262F2,0.4948,safe
0x02A244,0x0815F0,4.0553,safe
0x0C4A78,0x04EFEA,0.2093,safe
0x0DB3B4,0x0EB941,4.6501,safe
0x0387B3,0x0CBFE8,4.2343,safe
0x0820F7,0x0E300B,0.3915,safe
0x0620C6,0x038497,4.0818,safe
0x09B505,0x094227,4.869,safe
0x0D6536,0x01095A,2.4053,safe
0x0A3A92,0x073FB2,0.1691,safe
0x0C84A4,0x08E752,0.4883,safe
0x083AEE,0x07154C,0.0965,safe
0x079379,0x0E55EA,4.6432,safe
0x096CD6,0x02131B,0.1244,safe
0x086129,0x0E78AA,4.7011,safe
0x00E41C,0x0C2E10,2.6227,safe
0x0A2E47,0x0BE276,3.398,safe
0x005D96,0x01C476,1.4398,safe
0x07746F,0x0CE90D,4.7657,safe
0x09F90C,0x015C3E,3.7783,safe
0x0079C4,0x042F61,3.0417,safe
0x0CCF7E,0x04A159,1.2909,safe
0x0B7EE5,0x0307EB,3.9413,safe
0x0D94D9,0x0E781D,0.6717,safe
0x0AFA3E,0x0BE313,2.767,safe
0x0285DA,0x0A1BF4,0.8693,safe
0x07E777,0x075377,2.888,safe
0x077AE0,0x0E1A35,1.7462,safe
0x01E437,0x0D695D,1.8381,safe
0x0E2BAE,0x005827,1.9398,safe
0x0EB883,0x0D6D72,1.5029,safe
0x024A70,0x0D6304,3.48,safe
0x09FAA0,0x03B66A,4.3478,safe
0x03D819,0x04A98A,4.0629,safe
0x0333BC,0x07300A,0.5328,safe
0x08F15B,0x06682D,0.2092,safe
0x01680F,0x0513AE,3.7601,safe
0x0803B0,0x0F2DCE,2.1578,safe
0x0D6A4D,0x0CAA5E,2.6348,safe
0x0AECAF,0x0EDD69,4.4273,safe
0x0ADD95,0x0C35C9,4.4872,safe
0x08D621,0x04383D,0.1405,safe
0x0B6AB5,0x028486,1.585,safe
0x000682,0x0A2A9D,3.0702,safe
0x0DAED6,0x051A07,1.4653,safe
0x0E4FE4,0x0415D4,2.1066,safe
0x037E0F,0x0BAF87,1.1443,safe
0x0C23B2,0x09E26B,0.2124,safe
0x07093D,0x02C2F9,4.9531,safe
0x06EFDC,0x0E8DF4,1.7962,safe
0x06088C,0x09AC80,4.9937,safe
0x05E981,0x056E77,0.0555,safe
0x0CD743,0x0E16C9,2.79,safe
0x073A7B,0x0842DE,3.6972,safe
0x003D3D,0x00F42D,2.7433,safe
0x02E5AA,0x021928,4.312,safe
0x02F2CA,0x02C34B,0.5327,safe
0x099163,0x055870,1.4342,safe
0x02BDB1,0x098F6F,1.1164,safe
0x00A375,0x04CC2D,1.6581,safe
0x061856,0x096AFE,3.4159,safe
0x04EEDD,0x0F3ABC,2.8352,safe
0x0F292D,0x08B389,2.1961,safe
0x055F3F,0x073A1B,4.9706,safe
0x03E619,0x0F1C61,2.3866,safe
0x0C6F9E,0x06DF00,4.6545,safe
0x007763,0x0C124A,0.6795,safe
0x003B60,0x04CA17,0.3882,safe
0x058121,0x022B83,4.81,safe
0x0DAD8D,0x0BADBC,0.6281,safe
0x0CF844,0x08AD23,3.8724,safe
0x08C65A,0x0BB15D,4.9981,safe
0x01F8C2,0x0E1998,2.3106,safe
0x077E89,0x03CFA4,0.9464,safe
0x0EE2A8,0x09C763,3.4028,safe
0x0D7EA3,0x01D75B,4.1226,safe
0x089835,0x0AB27A,1.5371,safe
0x0C2E2F,0x055BBE,1.1076,safe
0x02F7C1,0x08BDA6,3.6327,safe
0x02B8AA,0x0EBE1C,2.349,safe
0x029908,0x0E2BAF,4.7071,safe
0x0AA1E1,0x059055,0.8632,safe
0x07861D,0x022179,2.1641,safe
0x058E20,0x0BFA01,1.2066,safe
0x035AF3,0x09821F,0.3398,safe
0x0BC296,0x0B4913,2.4358,safe
0x0D8CDC,0x02A8EE,2.1676,safe
0x01CEB9,0x02876A,2.5383,safe
0x094304,0x090834,1.611,safe
0x0AF767,0x0B2712,0.5163,safe
0x03BE85,0x058D50,1.7182,safe
0x0E62B7,0x0AE84B,2.0984,safe
0x0272CD,0x0CD43E,3.4308,safe
0x03EB93,0x001930,2.6205,safe
0x099179,0x0BE24F,0.6275,safe
0x0D5F06,0x022E03,4.9173,safe
0x0CEDE2,0x0E1BEB,3.8908,safe
0x0BA5C3,0x060812,2.6785,safe
0x08B3C4,0x05AE33,3.9145,safe
0x0AF3C9,0x097C66,3.6319,safe
0x08A4CE,0x0F3536,4.5492,safe
0x0EC43E,0x079179,3.8572,safe
0x0558E1,0x06BE7F,1.3918,safe
0x0C0CDB,0x05CEB7,3.738,safe
0x03B148,0x0C347C,3.8254,safe
0x080D16,0x037A06,1.0917,safe
0x0E946D,0x0A2C45,1.8582,safe
0x01F6BF,0x0E6585,4.6957,safe
0x0759D1,0x057CE8,4.258,safe
0x067D45,0x016C72,3.9264,safe
0x055B4A,0x01C02B,2.4476,safe
0x09BD7E,0x0C15D4,2.0998,safe
0x0AD422,0x09B9E6,3.5897,safe
0x00F58A,0x0291FB,1.7358,safe
0x0C60FC,0x07A6DC,0.5647,safe
0x0CF8E5,0x004F50,1.0863,safe
0x0C2D64,0x0BD276,2.0795,safe
0x03E99C,0x0D66B3,4.649,safe
0x00DDAC,0x049BFD,0.6718,safe
0x02035A,0x02A9AD,4.2909,safe
0x0E077D,0x09D010,1.003,safe
0x0E0033,0x05C113,4.0039,safe
0x0461EF,0x0CF5FB,2.6373,safe
0x0381D6,0x0B2376,0.8405,safe
0x096709,0x060879,4.6186,safe
0x095A17,0x0DAC68,1.4231,safe
0x057481,0x0F2319,0.2809,safe
0x0D3943,0x096650,4.675,safe
0x03C8D6,0x08C4DA,1.9837,safe
0x02274E,0x062220,4.0564,safe
0x08EB6A,0x06BB94,1.4373,safe
0x0151A6,0x0D6EDD,3.661,safe
0x0B01A1,0x07DB8B,0.3487,safe
0x0749B5,0x0F3006,0.9335,safe
0x054931,0x0A0E5B,2.974,safe
0x0A1591,0x0AA357,0.2693,safe
0x0D563F,0x045AE8,4.5154,safe
0x03C780,0x017D51,2.0067,safe
0x06D7F1,0x0D9A9D,2.5922,safe
0x022719,0x040E63,2.9769,safe
0x06DC96,0x0B4D15,3.9732,safe
0x0F0106,0x0C9AE6,2.7663,safe
0x0150D5,0x0DAF6C,4.652,safe
0x018B1D,0x07B112,1.4331,safe
0x037E5F,0x019398,4.4904,safe
0x080002,0x00738F,1.3486,safe
0x0B5A56,0x09C29D,4.7238,safe
0x063366,0x012CC7,1.9612,safe
0x092435,0x0E00F1,0.4917,safe
0x0EF000,0x054665,2.2231,safe
0x02C816,0x0D56B7,4.8771,safe
0x0C011B,0x0B35BE,2.515,safe
0x0059D7,0x098033,2.1384,safe
0x04F633,0x077181,1.1275,safe
0x0E8FC4,0x035A08,2.9899,safe
0x06D79D,0x0B65F5,2.5381,safe
0x04B6C0,0x0C4C05,4.246,safe
0x019CDF,0x0C11FA,4.573,safe
0x0167E6,0x0686BD,1.2961,safe
0x0918D5,0x041360,3.1941,safe
0x0499A6,0x02D3F4,2.7889,safe
0x05E460,0x0BF11E,4.5497,safe
0x047E81,0x02E0DE,0.8002,safe
0x07F632,0x017D9A,2.455,safe
0x07D66A,0x09A425,3.3274,safe
0x0D7C4D,0x0588D9,0.0337,safe
0x0DBA2E,0x0B3D81,2.8289,safe
0x0E199E,0x03CF7E,2.2979,safe
0x0CCB79,0x0C4CA0,3.3347,safe
0x094F3F,0x08CFE8,2.6995,safe
0x034953,0x0BADF3,1.0338,safe
0x03FF96,0x003878,3.8707,safe
0x0E7F36,0x01222A,3.2498,safe
0x035337,0x0AD35F,3.9034,safe
0x0CD7C5,0x0E7DB1,3.0106,safe
0x01D25F,0x014458,3.6616,safe
0x07D7A1,0x026A11,0.339,safe
0x017453,0x03A53C,2.5471,safe
0x0E5A1E,0x023510,1.0238,safe
0x060262,0x08C6AD,0.6522,safe
0x0EE334,0x06A3D3,4.7145,safe
0x02C154,0x01A905,0.9047,safe
0x084AC2,0x0F3B82,1.2513,safe
0x0CE7C1,0x073EB5,3.3124,safe
0x0D2FBD,0x0CD8F4,3.9887,safe
0x01D26E,0x0C3717,2.804,safe
0x0BEB0F,0x0BED91,4.0747,safe
0x08ABE3,0x0424E4,4.1213,safe
0x003CA7,0x06E574,3.7554,safe
0x0A27B8,0x03BDF1,2.7235,safe
0x0C18E3,0x034187,2.887,safe
0x0F1B9A,0x057C10,2.9263,safe
0x073F66,0x0BD7D8,1.5734,safe
0x0CFE5D,0x09D8AA,1.5913,safe
0x029C30,0x0C3ACC,2.4775,safe
0x0B62F7,0x09E9BB,4.5232,safe
0x01A768,0x0BBEBA,2.0563,safe
0x0B7BF7,0x04A15F,3.3524,safe
0x02F1F0,0x0C8BBF,4.5466,safe
0x00E9CD,0x02191C,1.0235,safe
0x0A2E69,0x06A84D,3.7786,safe
0x041F9F,0x0CAE2E,3.0037,safe
0x0E53D2,0x0A3ED8,3.0822,safe
0x0BBB88,0x0D6958,0.9119,safe
0x0623E3,0x06E3D2,4.9924,safe
0x036750,0x00A32A,3.857,safe
0x0D1F0F,0x021005,4.8191,safe
0x048A52,0x03735B,2.8048,safe
0x0E1D63,0x08C863,3.6674,safe
0x0738CF,0x0412B3,1.5148,safe
0x067DCB,0x0F0148,1.8094,safe
0x03E937,0x0BC32F,0.0201,safe
0x0298DF,0x06F589,1.9712,safe
0x029069,0x0DF613,0.2052,safe
0x0B8933,0x00ACB0,4.2893,safe
0x008282,0x0C0E07,1.7666,safe
0x04AD09,0x01C2B6,1.7412,safe
0x075678,0x09268C,4.4629,safe
0x035F26,0x033208,1.3183,safe
0x073F25,0x01AFEF,3.0044,safe
0x046733,0x076139,2.5775,safe
0x04FD74,0x075CA1,0.2321,safe
0x002ECA,0x0A2B87,1.8655,safe
0x09B8CE,0x02CF5B,0.1929,safe
0x0C8770,0x0D3EE3,0.9253,safe
0x0BF857,0x03606E,0.3301,safe
0x00FCAB,0x06FBC9,4.8328,safe
0x065C5C,0x09C667,4.7296,safe
0x09A92F,0x0E6D9C,1.7986,safe
0x016429,0x041120,4.138,safe
0x0189D9,0x02278D,2.1553,safe
0x0EF3BF,0x088334,1.8295,safe
0x053BBB,0x010D75,3.1348,safe
0x040EE7,0x09FB11,2.904,safe
0x0EB129,0x0132CE,3.2959,safe
0x014F2C,0x07B26D,1.2075,safe
0x012791,0x09BC41,4.4774,safe
0x00A1F9,0x03EB4A,3.065,safe
0x00C23C,0x0690E4,1.0319,safe
0x06789C,0x03E213,2.1409,safe
0x005AD5,0x00B679,0.5799,safe
0x05E83B,0x00608C,2.0984,safe
0x06D28A,0x0AF3D4,4.6748,safe
0x0DCC10,0x05E8AF,2.5707,safe
0x0B93F3,0x09B537,0.3747,safe
0x001222,0x0CB17A,1.277,safe
0x05A4FE,0x016838,2.0317,safe
0x047CB8,0x0B821D,2.2972,safe
0x0580F0,0x0E0030,4.32,safe
0x0EE49B,0x0E9CD0,4.9879,safe
0x05D427,0x00282E,4.0232,safe
0x0E0C11,0x0A05EC,3.5889,safe
0x06DED4,0x002C59,3.4165,safe
0x0A858E,0x07C0F0,0.894,safe
0x0D11D2,0x0E75DE,0.9512,safe
0x062322,0x09E4C1,4.6521,safe
0x0B0603,0x02C3DE,4.5672,safe
0x055228,0x0BEF37,0.5583,safe
0x0282D2,0x0E973E,4.105,safe
0x08228B,0x081287,3.9561,safe
0x0ECE9B,0x0F1734,2.3614,safe
0x0C543B,0x047A2D,2.9145,safe
0x0CE4F1,0x012425,2.0656,safe
0x00D2C1,0x05E426,1.0333,safe
0x055BC4,0x05B07F,2.7464,safe
0x0709D1,0x052259,2.4249,safe
0x02459C,0x07651B,1.6785,safe
0x02978E,0x0DAA84,2.8989,safe
0x0618F6,0x0A5F98,4.1078,safe
0x07F826,0x07142E,0.0355,safe
0x04CAD0,0x0871D4,1.3563,safe
0x03B9D8,0x0AEE7F,3.2801,safe
0x001CCE,0x0E4C20,1.3982,safe
0x060AF7,0x008E1C,4.2074,safe
0x0C5305,0x0E5BB9,0.0152,safe
0x02FDAF,0x090A69,4.2101,safe
0x0D1323,0x0961FE,1.3778,safe
0x003537,0x069960,3.471,safe
0x00563F,0x0C1916,0.6972,safe
0x085BA0,0x07BD82,0.4202,safe
0x01B9AE,0x03C71F,3.9001,safe
0x043899,0x028E35,3.2596,safe
0x00F7B1,0x0DEB6D,3.6964,safe
0x05CBC6,0x006461,0.1477,safe
0x05A2D8,0x09EAF5,4.4117,safe
0x0CB81A,0x046421,3.1206,safe
0x0E554E,0x0E8A1D,4.968,safe
0x08C2EE,0x04A4FF,1.1911,safe
0x0D469C,0x012668,1.6067,safe
0x03B941,0x076A26,2.3034,safe
0x0BF301,0x052707,3.5733,safe
0x0D77C0,0x06C6A0,2.9516,safe
0x038492,0x088A7D,0.5573,safe
0x09B29A,0x083FA0,0.7114,safe
0x067ECD,0x06136E,3.9237,safe
0x07B8D5,0x0B3037,1.7102,safe
0x060B5C,0x02E0FB,1.5151,safe
0x0948F7,0x08D0DF,2.6946,safe
0x0C09DD,0x08C247,3.2029,safe
0x0855FC,0x09B702,3.3959,safe
0x01D145,0x0A1BAA,3.7814,safe
0x00EB1C,0x0E8EC6,1.2427,safe
0x0DA4FC,0x012B80,2.9185,safe
0x064B89,0x003348,1.5252,safe
0x03ACAF,0x0C9E75,1.3213,safe
0x0CC0E2,0x030073,4.7729,safe
0x0463E5,0x00588E,2.475,safe
0x01AF44,0x006298,2.3589,safe
0x052501,0x00FC1A,2.3937,safe
0x092816,0x05E5C7,3.6091,safe
0x0F1CB7,0x02647E,4.2893,safe
0x099E3A,0x0BEF27,0.478,safe
0x09448B,0x0C4282,3.2955,safe
0x0470E7,0x035A56,0.3772,safe
0x0968A7,0x0E8DD4,3.5327,safe
0x0DE887,0x0BB35C,2.4002,safe
0x0C5A5E,0x0399C6,0.6349,safe
0x06A4CD,0x03A033,2.5373,safe
0x0503B0,0x0B65DE,2.5771,safe
0x01313B,0x07B19E,0.6191,safe
0x08D4BE,0x052637,4.7625,safe
0x09D34F,0x0AADA8,0.421,safe
0x086CDC,0x09DEE1,1.9594,safe
0x047E19,0x0673BA,1.8685,safe
0x0F1DA4,0x086EB2,1.9547,safe
0x0E7DC6,0x036F46,0.2831,safe
0x0C4A60,0x0EA879,1.9395,safe
0x07FE40,0x034E8C,4.6308,safe
0x0A5D25,0x078AEB,1.3555,safe
0x0B38A2,0x0B7C5C,4.9518,safe
0x02B966,0x08C35C,0.0197,safe
0x0D7117,0x00AD98,2.926,safe
0x069CF5,0x0A0D45,1.1109,safe
0x08CD40,0x0EF75D,3.6063,safe
0x029CB8,0x06B723,1.4349,safe
0x0F1E41,0x09074C,2.2926,safe
0x089E3D,0x0F26A6,0.7278,safe
0x0A17D6,0x0A3054,2.44,safe
0x080756,0x07E806,1.9206,safe
0x0A1C0B,0x0EFFAC,3.6711,safe
0x02F36E,0x06EEC4,4.7518,safe
0x06CE4E,0x040F38,3.8914,safe
0x0E6668,0x066727,3.0142,safe
0x08BDFB,0x042B9D,2.2465,safe
0x07E8E8,0x04688A,2.8936,safe
0x00F471,0x05BA04,3.9063,safe
0x0B7177,0x01B7A4,0.0655,safe
0x0F32BE,0x00C236,4.4605,safe
0x055023,0x0E7AA1,1.0014,safe
0x04F4A2,0x0B06AF,2.9451,safe
0x018C0C,0x05432A,0.6355,safe
0x090509,0x0D7DDA,0.4108,safe
0x084591,0x04310E,0.8958,safe
0x01E951,0x006F88,0.6361,safe
0x030FB4,0x0F2DFF,1.5055,safe
0x0EAC05,0x047507,2.7048,safe
0x034BDF,0x031560,1.8267,safe
0x0678AD,0x090B74,3.8037,safe
0x03A53D,0x0F1415,2.7913,safe
0x007154,0x06E26D,0.0693,safe
0x0DE088,0x0BC546,0.6149,safe
0x0BF835,0x0BD1D0,0.8663,safe
0x038A73,0x03E534,1.1783,safe
0x0540CB,0x0620AB,1.9656,safe
0x04522F,0x03D9B0,3.1091,safe
0x02D643,0x0B734C,3.9117,safe
0x072830,0x020EB6,1.559,safe
0x0CAD56,0x0A2B8B,2.8704,safe
0x0C5FF1,0x09C123,1.7167,safe
0x019718,0x042EDC,3.3418,safe
0x0F1515,0x08CD31,4.4239,safe
0x07DBB4,0x0E35FF,3.688,safe
0x019F9B,0x060B3A,2.3631,safe
0x045103,0x0D59AC,4.5498,safe
0x095FB3,0x01E29E,3.6851,safe
0x089661,0x0C4A8D,1.2403,safe
0x0A4F97,0x05B14E,2.9001,safe
0x0EC541,0x06BEC4,0.2998,safe
0x0ECF3F,0x0AA695,0.5781,safe
0x008A85,0x062CAF,1.5937,safe
0x0B3986,0x0A9B13,4.7216,safe
0x09B9E0,0x07C9B8,3.2221,safe
0x05E1C4,0x0DA42D,4.0356,safe
0x08B966,0x02DAC0,3.5096,safe
0x09952B,0x0E5B29,3.4631,safe
0x0C5D6F,0x03F647,2.783,safe
0x03AC52,0x09EB30,0.1902,safe
0x0B68D1,0x03B172,2.9238,safe
0x0890E7,0x05E778,0.7188,safe
0x003D96,0x08EFB7,3.1623,safe
0x071C2B,0x0D1811,4.5652,safe
0x02C93E,0x0CDFBF,0.5846,safe
0x063796,0x0819A8,3.0529,safe
0x0DC2FA,0x06B069,3.6934,safe
0x0BF6AF,0x03C7EE,3.6302,safe
0x09CAFC,0x0557E7,3.7774,safe
0x057C84,0x0EEB61,3.0935,safe
0x05DA05,0x0DC662,2.8264,safe
0x06F50D,0x01F725,4.2914,safe
0x002446,0x0D0D68,1.0935,safe
0x09F673,0x045C70,3.4282,safe
0x0401DD,0x04A366,1.9448,safe
0x090350,0x0E613E,4.0597,safe
0x06D8D0,0x070910,0.4058,safe
0x03946E,0x02B9DF,1.3747,safe
0x0CF5A8,0x018A3D,0.8906,safe
0x01902E,0x02E108,0.0275,safe
0x0CCC39,0x06FC06,3.1056,safe
0x0C2008,0x086903,0.2685,safe
0x05DC44,0x0C0A01,3.6144,safe
0x08B228,0x0BBA79,2.6589,safe
0x05BF11,0x09895C,4.5185,safe
0x003A17,0x04BF4E,0.9282,safe
0x0102CE,0x045652,4.1607,safe
0x07FF03,0x0F32FF,3.3608,safe
0x00C111,0x039086,0.1772,safe
0x036A29,0x0D0A04,2.0018,safe
0x06C102,0x0E0B01,2.6522,safe
0x0C47FB,0x0CB77A,4.1175,safe
0x081AF5,0x07F995,4.646,safe
0x05F18E,0x083B5C,4.3739,safe
0x0D9244,0x02E297,4.66,safe
0x0F1719,0x0CFC9F,4.2619,safe
0x04B15C,0x0F09AD,3.1495,safe
0x08E49D,0x04BD09,2.0501,safe
0x066C46,0x00E676,2.0087,safe
0x0DD449,0x0A81F4,0.8827,safe
0x044E40,0x0C7621,1.8564,safe
0x0AB8F0,0x0E820A,2.0147,safe
0x0CCAF6,0x058FC4,4.2713,safe
0x09FEBE,0x088FE0,1.1327,safe
0x060D72,0x0DC44C,0.2128,safe
0x02F373,0x03485C,4.0131,safe
0x01C2DC,0x0F2BEC,2.8859,safe
0x06F61E,0x0A9D41,3.9896,safe
0x060639,0x079416,1.7977,safe
0x01E47C,0x0D8EC0,0.1241,safe
0x036875,0x046AD0,2.4717,safe
0x089148,0x08B171,0.0119,safe
0x0107E3,0x0A0494,4.2464,safe
0x0ED7F6,0x0624C6,4.7271,safe
0x03C6F6,0x05B1F3,2.1449,safe
0x061547,0x0DE7F1,2.1351,safe
0x096A46,0x09D482,4.4884,safe
0x08CE33,0x0486B9,1.9589,safe
0x003149,0x0D5ECC,3.608,safe
0x05395E,0x0CE83D,0.6726,safe
0x0BF02D,0x0B7FEC,2.7346,safe
0x0415B5,0x04F464,4.3368,safe
0x0F41E5,0x0E9ED1,4.5412,safe
0x04063B,0x036ACF,3.7883,safe
0x0AA528,0x0C72E6,2.921,safe
0x0493CA,0x0611F7,0.5924,safe
0x046711,0x05702C,2.2378,safe
0x0B4280,0x0DCE93,1.049,safe
0x00FD4B,0x0B8FB7,2.9155,safe
0x054425,0x053839,0.0624,safe
0x0E8978,0x04BAF7,2.9454,safe
0x076EA1,0x08C19F,3.5167,safe
0x0ABA4C,0x07D435,3.1698,safe
0x04559A,0x0C2501,2.9001,safe
0x0A47AE,0x089E75,2.2829,safe
0x08CA7F,0x043140,2.919,safe
0x024A0B,0x04E10C,2.7453,safe
0x0A5EF9,0x08994F,2.1606,safe
0x0049BE,0x034C0D,0.7071,safe
0x038993,0x0127AA,3.1538,safe
0x0150C8,0x00F25B,0.396,safe
0x07DE9E,0x0ADC68,1.3247,safe
0x0E727A,0x0AE2DA,3.0068,safe
0x07ADB1,0x08AA34,1.3211,safe
0x0C666A,0x03991B,1.7331,safe
0x0D329B,0x000E73,0.6624,safe
0x04FD84,0x07A123,4.7321,safe
0x02A7A2,0x06581A,2.3189,safe
0x0C8B1B,0x0D5C09,1.2758,safe
0x00C473,0x0E2086,1.5114,safe
0x089737,0x00AACB,0.6883,safe
0x0764CD,0x0DE2C2,4.4386,safe
0x0411C5,0x01CE5C,0.9604,safe
0x063E70,0x0920C6,2.249,safe
0x048CB4,0x026C7C,1.3651,safe
0x017399,0x029795,2.7796,safe
0x0E025F,0x00896B,1.4144,safe
0x0DE608,0x04DF49,0.6429,safe
0x04975B,0x007004,3.2012,safe
0x08C616,0x02EFF5,1.8215,safe
0x066882,0x05E889,1.9252,safe
